제품도번,Cpk,불량률
P-3015,2.637,0.819
P-3027,1.228,0.905
P-3008,1.75,0.924
P-3031,2.071,0.965
P-3023,1.656,1.003
P-3035,2.929,1.006
P-3025,2.289,1.126
P-3010,1.331,1.145
P-3018,1.968,1.164
P-3002,2.526,1.168
P-3003,1.646,1.181
P-3029,1.756,1.221
P-3030,0.882,1.26
P-3028,0.855,1.262
P-3005,0.899,1.297
P-3034,2.436,1.3
P-3004,3.253,1.303
P-3017,0.801,1.314
P-3001,1.205,1.321
P-3026,1.166,1.33
P-3019,1.616,1.392
P-3016,1.763,1.393
P-3024,1.132,1.398
P-3014,1.302,1.408
P-3007,1.226,1.66
P-3020,0.85,1.675
P-3022,0.972,1.74
P-3021,1.629,2.113
P-3032,1.355,2.113
P-3009,1.421,2.215
P-3012,1.384,2.281
P-3006,0.819,2.602
P-3013,1.507,2.669
P-3011,2.541,2.672
P-3033,0.767,3.002
