agent_id,team,overtime_hours_avg,agent_satisfaction,training_completed_yn,qa_score,avg_csat,recontact_rate
AG16,3팀,8,2,False,3.9,3.537,29.851
AG09,1팀,9,3,False,3.6,3.535,19.718
AG20,2팀,11,4,False,3.3,3.27,25.397
AG07,3팀,20,6,False,3.3,3.0,22.807
AG14,1팀,10,7,False,4.2,3.367,21.667
AG19,3팀,22,7,False,3.5,3.164,20.0
AG03,2팀,26,8,False,4.0,3.114,14.286
AG12,2팀,15,3,True,3.1,3.448,27.586
AG01,1팀,9,4,True,3.9,3.47,28.788
AG05,3팀,19,5,True,3.2,3.169,23.944
AG17,1팀,8,5,True,4.0,3.537,25.373
AG02,1팀,28,6,True,3.0,3.053,25.0
AG10,3팀,9,6,True,4.0,3.446,23.214
AG13,3팀,18,6,True,3.4,3.135,18.919
AG06,1팀,10,7,True,4.1,3.409,19.697
AG08,2팀,6,7,True,4.3,3.525,18.75
AG04,2팀,16,8,True,4.1,3.265,19.118
AG15,2팀,7,8,True,4.4,3.493,16.418
AG11,1팀,4,9,True,4.6,3.348,13.636
AG18,2팀,12,9,True,4.2,3.194,14.516
