월,라인,호기,투입,양품,재작업,불량수량,불량률,상태,is_normal
2026-04,레이저,L1,21762,20669,293,800,0.036761,정상,True
2026-04,레이저,L2,24790,23091,546,1153,0.046511,정상,True
2026-04,레이저,L3,19565,18539,256,770,0.039356,정상,True
2026-04,레이저,L4,18942,17705,102,1135,0.05992,정상,True
2026-04,레이저,L5,16135,15329,289,517,0.032042,정상,True
2026-04,레이저,L6,18926,17996,309,621,0.032812,정상,True
2026-04,도장,B라인,61868,58438,943,2487,0.040198,정상,True
2026-04,도장,C라인,64408,61105,967,2336,0.036269,정상,True
2026-04,검사,QC1,58130,54601,990,2539,0.043678,정상,True
2026-04,검사,QC2,68058,63692,760,3606,0.052984,정상,True
2026-05,레이저,L1,22615,21296,323,996,0.044042,정상,True
2026-05,레이저,L2,20034,18758,318,958,0.047819,정상,True
2026-05,레이저,L3,19713,18317,387,1009,0.051184,정상,True
2026-05,레이저,L4,26774,25152,122,1500,0.056025,정상,True
2026-05,레이저,L5,19352,17833,397,1122,0.057979,정상,True
2026-05,레이저,L6,15697,14700,313,684,0.043575,정상,True
2026-05,도장,B라인,81094,77621,921,2552,0.03147,정상,True
2026-05,도장,C라인,52413,49432,949,2032,0.038769,정상,True
2026-05,검사,QC1,50223,47893,571,1759,0.035024,정상,True
2026-05,검사,QC2,70649,66476,593,3580,0.050673,정상,True
2026-06,레이저,L1,23289,21819,422,1048,0.045,정상,True
2026-06,레이저,L2,13598,12850,230,518,0.038094,정상,True
2026-06,레이저,L3,17242,16495,173,574,0.033291,정상,True
2026-06,레이저,L4,30062,27810,284,1968,0.065465,정상,True
2026-06,레이저,L5,22746,21049,504,1193,0.052449,정상,True
2026-06,레이저,L6,33574,31543,597,1434,0.042712,정상,True
2026-06,레이저,L7,2944,2507,87,350,0.118886,설비이상,False
2026-06,도장,B라인,57036,53705,862,2469,0.043288,정상,True
2026-06,도장,C라인,68968,65304,972,2692,0.039033,정상,True
2026-06,검사,QC1,68826,65160,966,2700,0.039229,정상,True
2026-06,검사,QC2,51810,48509,405,2896,0.055897,정상,True
