customer_id,tenure_months,avg_gb,churn_yn
C074,40,4.7,False
C102,54,5.7,False
C123,31,6.5,False
C402,71,3.6,True
C221,29,6.0,False
C267,71,6.2,False
C358,22,6.8,False
C381,49,6.5,False
C455,41,6.2,False
C060,47,3.7,True
C124,33,6.4,False
C156,12,6.0,False
C179,60,5.6,False
C273,62,5.7,False
C014,27,6.1,False
C114,43,5.4,False
C131,68,3.0,True
C500,36,6.2,False
C404,8,7.3,False
C125,59,5.9,False
C272,14,4.1,True
C493,24,4.3,True
C345,34,6.6,False
C357,50,4.9,False
C049,70,5.3,False
C107,13,6.2,False
C120,51,5.9,False
C162,14,5.5,False
C188,61,5.1,False
C214,39,5.8,False
C289,24,7.3,False
C299,52,6.9,False
C423,10,7.4,False
C463,8,6.7,False
C329,13,6.4,False
C352,6,5.8,True
C024,49,5.4,False
C135,11,8.0,False
C254,24,5.7,False
C449,33,6.2,True
C044,63,3.6,True
C193,53,5.4,False
C093,62,5.1,False
C203,32,6.3,False
C040,28,6.0,False
C235,22,5.7,False
C320,37,6.0,False
C443,35,6.5,False
C069,15,6.8,False
C384,10,6.5,True
C166,19,7.0,False
C325,63,5.2,False
C410,20,7.0,False
C436,63,5.2,False
C230,56,4.3,True
C351,35,6.2,False
C468,6,6.6,False
C118,42,5.7,False
C176,17,6.1,False
C212,23,5.7,False
C250,9,8.0,False
C405,18,6.7,False
C097,41,4.0,True
C269,57,4.8,False
C282,53,6.6,False
C408,48,5.7,False
C481,24,6.1,False
C073,66,5.6,False
C487,49,3.0,True
C456,66,4.3,True
C077,7,7.3,False
C159,67,3.3,True
C461,41,5.1,False
C201,56,5.7,False
C301,68,5.3,False
C167,45,5.4,False
C238,39,4.8,True
C239,70,6.8,False
C399,42,5.6,False
C453,62,5.8,False
C037,26,6.4,False
C195,45,5.6,False
C293,10,7.3,False
C396,8,5.1,True
C445,67,5.2,False
C248,36,4.8,False
C476,61,5.3,False
C023,57,3.3,True
C348,21,6.9,False
C417,20,6.1,False
C427,20,7.7,False
C116,46,5.7,False
C168,20,6.1,False
C210,21,6.2,False
C343,11,6.5,False
C422,60,5.6,False
C424,59,5.8,False
C025,31,5.8,False
C111,70,5.3,True
C113,22,6.0,False
