제품도번,측정특성,측정순번,측정값
P-3001,도막두께μm,1,21.4
P-3001,도막두께μm,2,21.9
P-3001,도막두께μm,3,20.9
P-3001,도막두께μm,4,23.0
P-3001,도막두께μm,5,22.8
P-3001,도막두께μm,6,21.3
P-3001,도막두께μm,7,20.2
P-3001,도막두께μm,8,22.0
P-3001,도막두께μm,9,23.6
P-3001,도막두께μm,10,23.2
P-3001,도막두께μm,11,22.5
P-3001,도막두께μm,12,20.1
P-3001,도막두께μm,13,23.9
P-3001,도막두께μm,14,24.3
P-3001,도막두께μm,15,19.6
P-3001,도막두께μm,16,22.2
P-3001,도막두께μm,17,18.6
P-3001,도막두께μm,18,22.2
P-3001,도막두께μm,19,20.3
P-3001,도막두께μm,20,20.3
P-3001,도막두께μm,21,23.6
P-3001,도막두께μm,22,21.0
P-3001,도막두께μm,23,22.1
P-3001,도막두께μm,24,24.7
P-3001,도막두께μm,25,19.3
P-3001,도막두께μm,26,22.8
P-3001,도막두께μm,27,24.0
P-3001,도막두께μm,28,23.7
P-3001,도막두께μm,29,22.7
P-3001,도막두께μm,30,24.2
P-3002,도막두께μm,1,32.7
P-3002,도막두께μm,2,31.9
P-3002,도막두께μm,3,30.9
P-3002,도막두께μm,4,30.9
P-3002,도막두께μm,5,31.0
P-3002,도막두께μm,6,31.8
P-3002,도막두께μm,7,30.7
P-3002,도막두께μm,8,31.3
P-3002,도막두께μm,9,31.6
P-3002,도막두께μm,10,32.8
P-3002,도막두께μm,11,31.9
P-3002,도막두께μm,12,31.3
P-3002,도막두께μm,13,31.7
P-3002,도막두께μm,14,31.8
P-3002,도막두께μm,15,30.9
P-3002,도막두께μm,16,32.7
P-3002,도막두께μm,17,31.7
P-3002,도막두께μm,18,31.5
P-3002,도막두께μm,19,30.8
P-3002,도막두께μm,20,31.5
P-3002,도막두께μm,21,31.2
P-3002,도막두께μm,22,32.9
P-3002,도막두께μm,23,31.0
P-3002,도막두께μm,24,30.7
P-3002,도막두께μm,25,32.2
P-3002,도막두께μm,26,32.3
P-3002,도막두께μm,27,32.5
P-3002,도막두께μm,28,32.8
P-3002,도막두께μm,29,31.6
P-3002,도막두께μm,30,30.7
