change_id,제품도번,변경일,변경구분,이전단가,이후단가,변경액,변경사유,승인문서번호,적용시작일,요청처
PC0001,P-3001,2025-01-13,원가상승,141,146,5,자재비 인상,,2025-01-13,공급사
PC0005,P-3001,2025-06-22,판가인하,526,517,-9,고객사 VE 요청,단가2025-0005,2025-06-22,고객사
PC0002,P-3001,2025-07-14,판가인상,515,518,3,원가 상승분 반영,단가2025-0002,2025-07-17,당사
PC0003,P-3001,2025-11-21,원가상승,146,157,11,물류비 인상,,2025-11-21,공급사
PC0004,P-3001,2026-06-23,판가인상,518,526,8,원가 상승분 반영,단가2026-0004,2026-07-06,당사
PC0006,P-3002,2024-02-29,원가상승,201,215,14,자재비 인상,,2024-02-29,내부원가
PC0007,P-3002,2024-08-13,판가인상,311,322,11,원가 상승분 반영,단가2024-0007,2024-08-25,당사
PC0008,P-3002,2025-03-01,원가상승,215,226,11,물류비 인상,,2025-03-01,공급사
PC0009,P-3002,2025-09-17,판가인상,322,328,6,원가 상승분 반영,단가2025-0009,2025-09-26,당사
PC0010,P-3002,2025-12-14,원가상승,226,248,22,자재비 인상,,2025-12-14,내부원가
PC0011,P-3003,2024-04-08,원가상승,332,349,17,외주 가공비 인상,,2024-04-08,공급사
PC0012,P-3003,2024-10-07,판가인상,782,797,15,원가 상승분 반영,단가2024-0012,2024-10-14,당사
PC0013,P-3003,2025-08-29,원가상승,349,385,36,자재비 인상,,2025-08-29,내부원가
PC0014,P-3004,2024-12-03,원가상승,170,187,17,인건비 인상,,2024-12-03,내부원가
PC0015,P-3004,2025-04-21,판가인상,523,534,11,원가 상승분 반영,단가2025-0015,2025-05-11,당사
PC0016,P-3004,2025-05-13,원가상승,187,196,9,외주 가공비 인상,,2025-05-13,내부원가
PC0017,P-3004,2026-05-02,판가인하,534,509,-25,물량 증가 단가 조정,단가2026-0017,2026-05-02,고객사
PC0018,P-3005,2024-03-23,원가상승,200,220,20,자재비 인상,,2024-03-23,내부원가
PC0020,P-3005,2024-05-18,원가상승,220,238,18,인건비 인상,,2024-05-18,공급사
PC0019,P-3005,2024-09-03,판가인상,313,330,17,원가 상승분 반영,단가2024-0019,2024-09-10,당사
PC0021,P-3005,2025-11-12,원가상승,238,259,21,인건비 인상,,2025-11-12,공급사
PC0023,P-3005,2026-03-23,원가상승,259,284,25,물류비 인상,,2026-03-23,공급사
PC0022,P-3005,2026-06-10,판가인상,330,343,13,원가 상승분 반영,단가2026-0022,2026-06-15,당사
PC0024,P-3006,2024-02-10,원가상승,190,208,18,인건비 인상,,2024-02-10,공급사
PC0025,P-3006,2024-06-27,원가상승,208,223,15,물류비 인상,,2024-06-27,공급사
PC0026,P-3006,2024-09-12,원가상승,223,230,7,자재비 인상,,2024-09-12,공급사
PC0027,P-3006,2026-03-07,원가상승,230,239,9,자재비 인상,,2026-03-07,공급사
PC0028,P-3007,2024-09-27,원가상승,150,162,12,인건비 인상,,2024-09-27,공급사
PC0029,P-3007,2025-01-27,판가인상,4794,4804,10,원가 상승분 반영,단가2025-0029,2025-02-10,당사
PC0030,P-3007,2025-04-06,원가상승,162,169,7,인건비 인상,,2025-04-06,공급사
PC0031,P-3007,2025-08-11,판가인상,4804,4809,5,원가 상승분 반영,단가2025-0031,2025-08-19,당사
PC0032,P-3007,2025-09-24,원가상승,169,181,12,외주 가공비 인상,,2025-09-24,내부원가
PC0033,P-3007,2026-03-12,판가인상,4809,4820,11,원가 상승분 반영,단가2026-0033,2026-03-18,당사
PC0034,P-3007,2026-04-24,원가상승,181,187,6,외주 가공비 인상,,2026-04-24,내부원가
PC0035,P-3008,2025-01-16,원가상승,172,190,18,자재비 인상,,2025-01-16,내부원가
PC0036,P-3008,2025-07-25,판가인상,345,358,13,원가 상승분 반영,단가2025-0036,2025-08-11,당사
PC0037,P-3008,2025-11-13,원가상승,190,196,6,물류비 인상,,2025-11-13,내부원가
PC0038,P-3008,2026-03-23,판가인상,358,363,5,원가 상승분 반영,단가2026-0038,2026-04-01,당사
PC0039,P-3009,2025-07-06,원가상승,178,196,18,물류비 인상,,2025-07-06,내부원가
PC0040,P-3009,2025-11-14,판가인상,890,903,13,원가 상승분 반영,단가2025-0040,2025-11-22,당사
PC0041,P-3009,2025-11-28,원가상승,196,215,19,외주 가공비 인상,,2025-11-28,공급사
PC0047,P-3010,2024-06-26,판가인하,448,418,-30,고객사 VE 요청,단가2024-0047,2024-06-26,고객사
PC0042,P-3010,2025-11-10,원가상승,295,307,12,물류비 인상,,2025-11-10,내부원가
PC0044,P-3010,2026-02-05,원가상승,307,324,17,물류비 인상,,2026-02-05,내부원가
PC0043,P-3010,2026-03-16,판가인상,431,438,7,원가 상승분 반영,단가2026-0043,2026-03-20,당사
PC0045,P-3010,2026-06-18,판가인상,438,448,10,원가 상승분 반영,단가2026-0045,2026-06-21,당사
PC0046,P-3010,2026-06-25,원가상승,324,338,14,인건비 인상,,2026-06-25,공급사
PC0048,P-3011,2025-04-15,원가상승,155,164,9,물류비 인상,,2025-04-15,공급사
PC0050,P-3011,2025-06-22,원가상승,164,169,5,인건비 인상,,2025-06-22,공급사
PC0051,P-3011,2025-09-12,원가상승,169,177,8,외주 가공비 인상,,2025-09-12,내부원가
PC0049,P-3011,2025-10-21,판가인상,3951,3959,8,원가 상승분 반영,단가2025-0049,2025-11-07,당사
PC0052,P-3011,2026-02-05,판가인상,3959,3965,6,원가 상승분 반영,단가2026-0052,2026-02-06,당사
PC0053,P-3012,2024-03-26,원가상승,150,166,16,자재비 인상,,2024-03-26,내부원가
PC0055,P-3012,2024-04-02,원가상승,166,182,16,물류비 인상,,2024-04-02,내부원가
PC0057,P-3012,2024-04-07,원가상승,182,195,13,인건비 인상,,2024-04-07,내부원가
PC0054,P-3012,2024-08-02,판가인상,3528,3543,15,원가 상승분 반영,단가2024-0054,2024-08-07,당사
PC0056,P-3012,2024-10-15,판가인상,3543,3557,14,원가 상승분 반영,단가2024-0056,2024-10-16,당사
PC0058,P-3012,2024-10-23,판가인상,3557,3566,9,원가 상승분 반영,단가2024-0058,2024-11-01,당사
PC0059,P-3012,2026-01-29,원가상승,195,211,16,자재비 인상,,2026-01-29,공급사
PC0060,P-3013,2025-01-14,원가상승,288,305,17,자재비 인상,,2025-01-14,내부원가
PC0061,P-3013,2025-07-04,원가상승,305,322,17,인건비 인상,,2025-07-04,공급사
PC0062,P-3014,2024-08-02,원가상승,153,169,16,물류비 인상,,2024-08-02,내부원가
PC0064,P-3014,2024-09-27,원가상승,169,183,14,자재비 인상,,2024-09-27,내부원가
PC0063,P-3014,2025-01-14,판가인상,646,658,12,원가 상승분 반영,단가2025-0063,2025-02-04,당사
PC0065,P-3014,2025-04-07,판가인상,658,667,9,원가 상승분 반영,단가2025-0065,2025-04-20,당사
PC0068,P-3014,2025-07-20,판가인하,672,628,-44,물량 증가 단가 조정,단가2025-0068,2025-07-20,고객사
PC0066,P-3014,2025-12-23,원가상승,183,191,8,외주 가공비 인상,,2025-12-23,내부원가
PC0067,P-3014,2026-06-29,판가인상,667,672,5,원가 상승분 반영,단가2026-0067,2026-07-09,당사
PC0069,P-3015,2024-05-05,원가상승,185,205,20,자재비 인상,,2024-05-05,내부원가
PC0070,P-3015,2025-10-21,원가상승,205,221,16,인건비 인상,,2025-10-21,내부원가
PC0071,P-3015,2026-05-02,원가상승,221,242,21,물류비 인상,,2026-05-02,내부원가
PC0072,P-3016,2024-02-15,원가상승,188,196,8,외주 가공비 인상,,2024-02-15,공급사
PC0074,P-3016,2024-03-27,원가상승,196,214,18,외주 가공비 인상,,2024-03-27,내부원가
PC0073,P-3016,2024-08-06,판가인상,802,808,6,원가 상승분 반영,단가2024-0073,2024-08-19,당사
PC0075,P-3016,2024-10-08,판가인상,808,822,14,원가 상승분 반영,단가2024-0075,2024-10-11,당사
PC0076,P-3016,2025-04-19,원가상승,214,222,8,물류비 인상,,2025-04-19,내부원가
