월,라인,호기,제품도번,삽입구분,요청부서,삽입일,삽입수량,밀림일수,상태,is_done,삽입월
2026-03,레이저,L1,P-3002,품질 대체품,생산관리,2026-03-15,1379,3,조치완료,True,2026-03
2026-03,레이저,L1,P-3017,긴급 A/S,고객사 직접,2026-03-23,3294,4,미조치,False,2026-03
2026-03,레이저,L2,P-3015,개발품,영업팀,2026-03-26,2427,2,조치완료,True,2026-03
2026-03,레이저,L3,P-3001,품질 대체품,생산관리,2026-03-13,3199,3,조치완료,True,2026-03
2026-03,레이저,L3,P-3030,개발품,생산관리,2026-03-04,2501,0,조치완료,True,2026-03
2026-03,레이저,L5,P-3034,긴급 A/S,생산관리,2026-03-01,2139,4,미조치,False,2026-03
2026-03,도장,B라인,P-3010,품질 대체품,영업팀,2026-03-27,597,1,조치완료,True,2026-03
2026-03,도장,B라인,P-3027,품질 대체품,영업팀,2026-03-16,1655,2,조치완료,True,2026-03
2026-03,도장,C라인,P-3018,긴급 A/S,품질팀,2026-03-12,1085,4,미조치,False,2026-03
2026-03,도장,C라인,P-3021,재작업,고객사 직접,2026-03-10,2943,1,조치완료,True,2026-03
2026-03,도장,C라인,P-3030,개발품,생산관리,2026-03-13,2540,1,조치완료,True,2026-03
2026-03,검사,QC2,P-3023,긴급 A/S,영업팀,2026-03-21,3575,3,조치완료,True,2026-03
2026-03,검사,QC2,P-3021,품질 대체품,품질팀,2026-03-11,2783,3,조치완료,True,2026-03
2026-03,검사,QC2,P-3008,개발품,품질팀,2026-03-13,1257,1,조치완료,True,2026-03
2026-04,레이저,L1,P-3010,개발품,품질팀,2026-04-26,553,1,조치완료,True,2026-04
2026-04,레이저,L2,P-3014,긴급 A/S,품질팀,2026-04-12,3504,2,조치완료,True,2026-04
2026-04,레이저,L2,P-3010,품질 대체품,생산관리,2026-04-09,983,4,미조치,False,2026-04
2026-04,레이저,L2,P-3028,개발품,생산관리,2026-04-25,2688,0,조치완료,True,2026-04
2026-04,레이저,L3,P-3023,개발품,영업팀,2026-04-19,1231,1,조치완료,True,2026-04
2026-04,레이저,L5,P-3015,개발품,생산관리,2026-04-20,3812,1,조치완료,True,2026-04
2026-04,레이저,L5,P-3014,품질 대체품,품질팀,2026-04-06,2432,2,조치완료,True,2026-04
2026-04,레이저,L5,P-3032,재작업,영업팀,2026-04-14,2414,1,조치완료,True,2026-04
2026-04,레이저,L6,P-3010,개발품,고객사 직접,2026-04-08,2269,1,조치완료,True,2026-04
2026-04,레이저,L6,P-3015,개발품,품질팀,2026-04-09,1409,1,조치완료,True,2026-04
2026-04,도장,B라인,P-3010,긴급 A/S,품질팀,2026-04-11,1603,3,조치완료,True,2026-04
2026-04,도장,B라인,P-3007,품질 대체품,품질팀,2026-04-18,3368,2,조치완료,True,2026-04
2026-04,도장,C라인,P-3016,품질 대체품,고객사 직접,2026-04-10,1621,1,조치완료,True,2026-04
2026-04,도장,C라인,P-3034,품질 대체품,고객사 직접,2026-04-13,2043,1,조치완료,True,2026-04
2026-04,검사,QC1,P-3006,품질 대체품,고객사 직접,2026-04-19,1327,3,조치완료,True,2026-04
2026-04,검사,QC1,P-3032,긴급 A/S,생산관리,2026-04-21,1503,4,미조치,False,2026-04
2026-04,검사,QC1,P-3016,품질 대체품,품질팀,2026-04-25,1531,1,조치완료,True,2026-04
2026-05,레이저,L1,P-3035,개발품,영업팀,2026-05-14,2331,2,조치완료,True,2026-05
2026-05,레이저,L2,P-3011,긴급 A/S,고객사 직접,2026-05-23,1090,3,조치완료,True,2026-05
2026-05,레이저,L2,P-3034,재작업,생산관리,2026-05-12,654,2,조치완료,True,2026-05
2026-05,레이저,L2,P-3017,개발품,생산관리,2026-05-04,1456,0,조치완료,True,2026-05
2026-05,레이저,L3,P-3019,긴급 A/S,영업팀,2026-05-17,1393,5,미조치,False,2026-05
2026-05,레이저,L4,P-3015,품질 대체품,생산관리,2026-05-25,850,1,조치완료,True,2026-05
2026-05,레이저,L4,P-3020,품질 대체품,품질팀,2026-05-14,1004,2,조치완료,True,2026-05
2026-05,레이저,L5,P-3025,재작업,고객사 직접,2026-05-12,1007,3,조치완료,True,2026-05
2026-05,도장,B라인,P-3001,개발품,고객사 직접,2026-05-08,3961,3,조치완료,True,2026-05
2026-05,도장,B라인,P-3030,품질 대체품,영업팀,2026-05-11,1781,4,미조치,False,2026-05
2026-05,도장,B라인,P-3017,개발품,품질팀,2026-05-27,3944,1,조치완료,True,2026-05
2026-05,도장,C라인,P-3029,품질 대체품,생산관리,2026-05-16,397,2,조치완료,True,2026-05
2026-05,도장,C라인,P-3034,품질 대체품,영업팀,2026-05-04,615,3,조치완료,True,2026-05
2026-05,검사,QC1,P-3001,개발품,고객사 직접,2026-05-25,386,2,조치완료,True,2026-05
2026-05,검사,QC1,P-3021,개발품,품질팀,2026-05-01,3579,1,조치완료,True,2026-05
2026-05,검사,QC2,P-3014,품질 대체품,품질팀,2026-05-07,3778,4,미조치,False,2026-05
