제품도번,고객사,접수월,착수LT,생산LT,전체LT,여유일,접수여유,납기초과,예보차수,예보변동성,유형
P-3007,A사,2024-01,3.0,8.0,11.0,9.0,12,False,3,0.03698977410110286,생산 보충
P-3029,A사,2024-01,1.0,4.0,5.0,5.0,6,False,2,0.04613601513670562,생산 보충
P-3017,B사,2024-01,2.0,3.0,5.0,10.0,12,False,3,0.028340711268505694,생산 보충
P-3020,B사,2024-01,2.0,5.0,7.0,9.0,11,False,3,0.025010715162357637,생산 보충
P-3002,E사,2024-01,4.0,4.0,8.0,7.0,11,False,3,0.043930877318201486,생산 보충
P-3008,E사,2024-01,5.0,4.0,9.0,1.0,6,True,3,0.04175190868844212,생산 보충
P-3032,E사,2024-01,5.0,4.0,9.0,5.0,10,False,3,0.06266481824995404,생산 보충
P-3025,E사,2024-01,2.0,4.0,6.0,4.0,6,False,3,0.03971196826986525,생산 보충
P-3012,A사,2024-02,1.0,7.0,8.0,7.0,8,False,3,0.029228444036014496,생산 보충
P-3030,C사,2024-02,3.0,5.0,8.0,4.0,7,True,3,0.04366319926370074,생산 보충
P-3001,A사,2024-02,2.0,4.0,6.0,3.0,5,True,3,0.02680437550325379,생산 보충
P-3025,E사,2024-03,3.0,4.0,7.0,4.0,7,False,3,0.03971196826986525,생산 보충
P-3033,A사,2024-03,4.0,3.0,7.0,7.0,11,False,2,0.0312870819619402,생산 보충
P-3019,A사,2024-03,4.0,4.0,8.0,1.0,5,True,3,0.038673020974872095,생산 보충
P-3002,E사,2024-03,4.0,9.0,13.0,2.0,6,True,3,0.043930877318201486,생산 보충
P-3027,A사,2024-03,2.0,4.0,6.0,4.0,6,False,3,0.05293731452903573,생산 보충
P-3033,A사,2024-04,4.0,3.0,7.0,7.0,11,False,2,0.0312870819619402,생산 보충
P-3033,A사,2024-04,6.0,5.0,11.0,0.0,6,True,2,0.0312870819619402,생산 보충
P-3019,A사,2024-04,4.0,4.0,8.0,1.0,5,True,3,0.038673020974872095,생산 보충
P-3014,E사,2024-04,3.0,5.0,8.0,9.0,12,False,3,0.03782307315098036,생산 보충
P-3015,B사,2024-05,8.0,4.0,12.0,2.0,10,True,3,0.045532130769011546,생산 보충
P-3009,A사,2024-05,3.0,5.0,8.0,5.0,8,False,3,0.022584863228427385,생산 보충
P-3013,E사,2024-05,4.0,5.0,9.0,5.0,9,False,2,0.05688249631924942,생산 보충
P-3027,A사,2024-06,3.0,4.0,7.0,2.0,5,True,3,0.05293731452903573,생산 보충
P-3022,A사,2024-06,2.0,3.0,5.0,8.0,10,False,2,0.03744896762253092,생산 보충
P-3018,C사,2024-06,6.0,3.0,9.0,3.0,9,False,3,0.028112149184467552,생산 보충
P-3005,B사,2024-07,6.0,3.0,9.0,0.0,6,True,4,0.051893243275692114,생산 보충
P-3016,E사,2024-07,2.0,3.0,5.0,9.0,11,False,3,0.02564990310921333,생산 보충
P-3034,A사,2024-07,3.0,4.0,7.0,9.0,12,False,3,0.04327607317476751,생산 보충
P-3002,E사,2024-07,3.0,4.0,7.0,2.0,5,True,3,0.043930877318201486,생산 보충
P-3021,D사,2024-08,5.0,4.0,9.0,1.0,6,True,3,0.02345844706530883,생산 보충
P-3009,A사,2024-08,3.0,4.0,7.0,3.0,6,True,3,0.022584863228427385,생산 보충
P-3017,B사,2024-08,2.0,3.0,5.0,8.0,10,False,3,0.028340711268505694,생산 보충
P-3014,E사,2024-08,4.0,5.0,9.0,1.0,5,True,3,0.03782307315098036,생산 보충
P-3023,E사,2024-09,3.0,5.0,8.0,4.0,7,True,3,0.026755972436373756,생산 보충
